teamName,cityPopulation,teamSpending,taxRate,avgTemp,managementRank,luxuryTaxSpace,milesTraveled,fanAttendance,netRTG,averageTicketPrice,regWins,madePlayoff,seed,crime index
Atlanta Hawks,5800000,92928845,0.06,63.5,6.1,17754189,NA,"654,306",-0.8,87,43,yes,5,NA
Boston Celtics,4700000,91484921,0.051,47.9,8.56,20251839,NA,"760,690",3.1,103,53,yes,1,NA
Brooklyn Nets,2600000,65405906,0.0882,45.4,3.97,29280103,NA,"632,608",-6.1,87,20,no,0,NA
Charlotte Hornets,2400000,100201483,0.05449,59,5.36,10676079,NA,"710,643",0.3,85,36,no,0,NA
Chicago Bulls,9500000,92681038,0.0495,51.8,3.71,20065755,NA,"888,882",0.1,97,41,yes,8,NA
Cleveland Cavaliers,2000000,125131982,0.4997,50.7,7.57,-13303785,NA,"843,042",2.9,150,51,yes,2,NA
Dallas Mavericks,6800000,92128049,0,64.8,7.45,7507593,NA,"811,366",-2.6,58,33,no,0,NA
Denver Nuggets,3000000,78416141,0.0463,45.1,5.78,30705064,NA,"605,585",-0.5,90,40,no,0,NA
Detroit Pistons,5200000,102503259,0.0425,44.4,5.51,5398562,NA,"655,141",-2,55,37,no,0,NA
Golden State Warriors,8700000,97520106,0.133,59.4,8.97,13031467,NA,"803,436",12.1,240,67,yes,1,NA
Houston Rockets,7000000,87526799,0,64.8,8.23,21794155,NA,"695,903",5.4,84,55,yes,3,NA
Indiana Pacers,1750000,85614337,0.0323,51.7,5.53,19284996,NA,"684,578",-0.1,57,42,yes,7,NA
LA Clippers,4500000,113657568,0.133,59.4,5.631,-2220492,NA,"782,609",4.5,70,51,yes,4,NA
Los Angeles Lakers,4500000,85639596,0.133,59.4,4.29,18972355,NA,"776,917",-7.2,149,26,no,0,NA
Memphis Grizzlies,1330000,108352164,0.03,57.6,6.14,2314877,NA,"677,314",0.1,48,43,yes,7,NA
Miami Heat,5560000,96523509,0,70.7,7.93,10782883,NA,"805,400",1,76,41,no,0,NA
Milwaukee Bucks,1570000,89531619,0.0765,43.1,6.05,20576173,NA,"648,952",0.5,50,42,yes,6,NA
Minnesota Timberwolves,3420000,59494555,0.0985,41.2,5.627,43681043,NA,"607,203",-1,75,31,no,0,NA
New Orleans Pelicans,1167000,94322677,0.06,66.4,3.96,11943813,NA,"663,099",-1.6,48,34,no,0,NA
New York Knicks,9000000,79595502,0.133,45.4,2.2,10834203,NA,"810,741",-4.1,190,31,no,0,NA
Oklahoma City Thunder,1410000,86981364,0.05,59.6,6.5,21510091,NA,"746,323",-0.2,101,47,yes,6,NA
Orlando Magic,2130000,102595191,0,70.7,3.9,9078555,NA,"727,875",-6.8,68,29,no,0,NA
Philadelphia 76ers,4000000,61656754,0.0307,48.8,5,27184034,NA,"710,557",-5.7,74,28,no,0,NA
Phoenix Suns,4500000,72521524,0.0454,60.3,3.92,27688992,NA,"708,639",-5.4,55,24,no,0,NA
Portland Trail Blazers,2400000,110932233,0.099,48.4,6.31,-66198,NA,"792,029",0,75,41,yes,8,NA
Sacramento Kings,2660000,87859206,0.133,59.4,2.69,17810130,NA,"721,928",-4.5,101,32,no,0,NA
San Antonio Spurs,2195000,104866760,0,64.8,9.62,3935144,NA,"755,347",7.9,100,61,yes,2,NA
Toronto Raptors,5500000,108443469,0.21,38,7.33,4255753,NA,"813,050",4.9,93,51,yes,3,NA
Utah Jazz,2400000,80223192,0.05,48.6,7.27,32788808,NA,"806,605",4.7,61,51,yes,5,NA
Washington Wizards,5700000,100785911,0.0895,50,6.23,10075364,NA,"697,107",1.6,68,49,yes,4,NA
Atlanta Hawks,5800000,71332945,0.06,63.5,NA,13332055,43015,"690,150",4.1,36.82,48,yes,4,591.8
Boston Celtics,4700000,58250334,0.051,47.9,NA,7573329,49282,"749,076",3,66.49,48,yes,5,303.5
Brooklyn Nets,2600000,51712738,0.0882,45.4,NA,4236153,38717,"620,142",-7.6,66.15,21,no,0,222.2
Charlotte Hornets,2400000,78340920,0.05449,59,NA,6207636,38970,"716,894",3.3,30.6,48,yes,6,259.8
Chicago Bulls,9500000,88213269,0.0495,51.8,NA,-3806602,41762,"894,659",-1.8,82.33,42,no,0,510.7
Cleveland Cavaliers,2000000,106997506,0.4997,50.7,NA,-22288354,35055,"843,042",5.8,48.12,57,yes,1,847.4
Dallas Mavericks,6800000,71198732,0,64.8,NA,11643139,45387,"825,901",0.6,49.76,42,yes,6,429.3
Denver Nuggets,3000000,60186706,0.0463,45.1,NA,13291247,42938,"577,898",-3.7,52.38,33,no,0,402.4
Detroit Pistons,5200000,66217330,0.0425,44.4,NA,9136310,35923,"677,138",-0.2,31.42,44,yes,8,868
Golden State Warriors,8700000,88868997,0.133,59.4,NA,-11075077,53575,"803,436",11.6,79.84,73,yes,1,473.6
Houston Rockets,7000000,75204953,0,64.8,NA,-3581683,48566,"737,244",-0.2,67.24,41,yes,8,520.7
Indiana Pacers,1750000,66751826,0.0323,51.7,NA,12326274,35226,"690,733",2.2,38.97,45,yes,7,649.1
LA Clippers,4500000,94554340,0.133,59.4,NA,-10970803,46062,"786,910",5.5,79.83,53,yes,4,347.1
Los Angeles Lakers,4500000,71770430,0.133,59.4,NA,12774628,44816,"778,877",-10.7,103.27,17,no,0,347.1
Memphis Grizzlies,1330000,76017172,0.03,57.6,NA,1357957,44941,"684,603",-2.9,31.48,42,yes,7,802
Miami Heat,5560000,82539172,0,70.7,NA,12672,48981,"809,350",2.6,76.73,48,yes,3,447.9
Milwaukee Bucks,1570000,68656240,0.0765,43.1,NA,14160488,39578,"621,808",-3.5,50.3,33,no,0,684.3
Minnesota Timberwolves,3420000,59841104,0.0985,41.2,NA,14087145,51502,"581,178",-2.8,37.27,29,no,0,559.3
New Orleans Pelicans,1167000,80164538,0.06,66.4,NA,3314240,44600,"688,549",-4.1,30.2,30,yes,6,610.9
New York Knicks,9000000,72920772,0.133,45.4,NA,11290212,41065,"812,292",-2.8,129.38,32,no,0,222.2
Oklahoma City Thunder,1410000,93765298,0.05,59.6,NA,-9025298,48232,"746,323",6.9,55.1,55,yes,3,435.8
Orlando Magic,2130000,61108745,0,70.7,NA,20277144,48941,"719,275",-2,39.4,35,no,0,551.8
Philadelphia 76ers,4000000,31052215,0.0307,48.8,NA,22315223,38611,"610,121",-10,38.46,10,no,0,469.6
Phoenix Suns,4500000,63389393,0.0454,60.3,NA,11296363,47033,"701,405",-7.6,56.1,23,no,0,402.9
